model.model.timestep_features.weight | Shape: [128, 1]
model.model.to_timestep_embed.0.weight | Shape: [1024, 256]
model.model.to_timestep_embed.0.bias | Shape: [1024]
model.model.to_timestep_embed.2.weight | Shape: [1024, 1024]
model.model.to_timestep_embed.2.bias | Shape: [1024]
model.model.to_cond_embed.0.weight | Shape: [1024, 768]
model.model.to_cond_embed.2.weight | Shape: [1024, 1024]
model.model.to_global_embed.0.weight | Shape: [1024, 768]
model.model.to_global_embed.2.weight | Shape: [1024, 1024]
model.model.transformer.layers.0.pre_norm.gamma | Shape: [1024]
model.model.transformer.layers.0.self_attn.to_qkv.weight | Shape: [3072, 1024]
model.model.transformer.layers.0.self_attn.to_out.weight | Shape: [1024, 1024]
model.model.transformer.layers.0.self_attn.q_norm.weight | Shape: [128]
model.model.transformer.layers.0.self_attn.q_norm.bias | Shape: [128]
model.model.transformer.layers.0.self_attn.k_norm.weight | Shape: [128]
model.model.transformer.layers.0.self_attn.k_norm.bias | Shape: [128]
model.model.transformer.layers.0.cross_attend_norm.gamma | Shape: [1024]
model.model.transformer.layers.0.cross_attn.to_q.weight | Shape: [1024, 1024]
model.model.transformer.layers.0.cross_attn.to_kv.weight | Shape: [2048, 1024]
model.model.transformer.layers.0.cross_attn.to_out.weight | Shape: [1024, 1024]
model.model.transformer.layers.0.cross_attn.q_norm.weight | Shape: [128]
model.model.transformer.layers.0.cross_attn.q_norm.bias | Shape: [128]
model.model.transformer.layers.0.cross_attn.k_norm.weight | Shape: [128]
model.model.transformer.layers.0.cross_attn.k_norm.bias | Shape: [128]
model.model.transformer.layers.0.ff_norm.gamma | Shape: [1024]
model.model.transformer.layers.0.ff.ff.0.proj.weight | Shape: [8192, 1024]
model.model.transformer.layers.0.ff.ff.0.proj.bias | Shape: [8192]
model.model.transformer.layers.0.ff.ff.2.weight | Shape: [1024, 4096]
model.model.transformer.layers.0.ff.ff.2.bias | Shape: [1024]
model.model.transformer.layers.1.pre_norm.gamma | Shape: [1024]
model.model.transformer.layers.1.self_attn.to_qkv.weight | Shape: [3072, 1024]
model.model.transformer.layers.1.self_attn.to_out.weight | Shape: [1024, 1024]
model.model.transformer.layers.1.self_attn.q_norm.weight | Shape: [128]
model.model.transformer.layers.1.self_attn.q_norm.bias | Shape: [128]
model.model.transformer.layers.1.self_attn.k_norm.weight | Shape: [128]
model.model.transformer.layers.1.self_attn.k_norm.bias | Shape: [128]
model.model.transformer.layers.1.cross_attend_norm.gamma | Shape: [1024]
model.model.transformer.layers.1.cross_attn.to_q.weight | Shape: [1024, 1024]
model.model.transformer.layers.1.cross_attn.to_kv.weight | Shape: [2048, 1024]
model.model.transformer.layers.1.cross_attn.to_out.weight | Shape: [1024, 1024]
model.model.transformer.layers.1.cross_attn.q_norm.weight | Shape: [128]
model.model.transformer.layers.1.cross_attn.q_norm.bias | Shape: [128]
model.model.transformer.layers.1.cross_attn.k_norm.weight | Shape: [128]
model.model.transformer.layers.1.cross_attn.k_norm.bias | Shape: [128]
model.model.transformer.layers.1.ff_norm.gamma | Shape: [1024]
model.model.transformer.layers.1.ff.ff.0.proj.weight | Shape: [8192, 1024]
model.model.transformer.layers.1.ff.ff.0.proj.bias | Shape: [8192]
model.model.transformer.layers.1.ff.ff.2.weight | Shape: [1024, 4096]
model.model.transformer.layers.1.ff.ff.2.bias | Shape: [1024]
model.model.transformer.layers.2.pre_norm.gamma | Shape: [1024]
model.model.transformer.layers.2.self_attn.to_qkv.weight | Shape: [3072, 1024]
model.model.transformer.layers.2.self_attn.to_out.weight | Shape: [1024, 1024]
model.model.transformer.layers.2.self_attn.q_norm.weight | Shape: [128]
model.model.transformer.layers.2.self_attn.q_norm.bias | Shape: [128]
model.model.transformer.layers.2.self_attn.k_norm.weight | Shape: [128]
model.model.transformer.layers.2.self_attn.k_norm.bias | Shape: [128]
model.model.transformer.layers.2.cross_attend_norm.gamma | Shape: [1024]
model.model.transformer.layers.2.cross_attn.to_q.weight | Shape: [1024, 1024]
model.model.transformer.layers.2.cross_attn.to_kv.weight | Shape: [2048, 1024]
model.model.transformer.layers.2.cross_attn.to_out.weight | Shape: [1024, 1024]
model.model.transformer.layers.2.cross_attn.q_norm.weight | Shape: [128]
model.model.transformer.layers.2.cross_attn.q_norm.bias | Shape: [128]
model.model.transformer.layers.2.cross_attn.k_norm.weight | Shape: [128]
model.model.transformer.layers.2.cross_attn.k_norm.bias | Shape: [128]
model.model.transformer.layers.2.ff_norm.gamma | Shape: [1024]
model.model.transformer.layers.2.ff.ff.0.proj.weight | Shape: [8192, 1024]
model.model.transformer.layers.2.ff.ff.0.proj.bias | Shape: [8192]
model.model.transformer.layers.2.ff.ff.2.weight | Shape: [1024, 4096]
model.model.transformer.layers.2.ff.ff.2.bias | Shape: [1024]
model.model.transformer.layers.3.pre_norm.gamma | Shape: [1024]
model.model.transformer.layers.3.self_attn.to_qkv.weight | Shape: [3072, 1024]
model.model.transformer.layers.3.self_attn.to_out.weight | Shape: [1024, 1024]
model.model.transformer.layers.3.self_attn.q_norm.weight | Shape: [128]
model.model.transformer.layers.3.self_attn.q_norm.bias | Shape: [128]
model.model.transformer.layers.3.self_attn.k_norm.weight | Shape: [128]
model.model.transformer.layers.3.self_attn.k_norm.bias | Shape: [128]
model.model.transformer.layers.3.cross_attend_norm.gamma | Shape: [1024]
model.model.transformer.layers.3.cross_attn.to_q.weight | Shape: [1024, 1024]
model.model.transformer.layers.3.cross_attn.to_kv.weight | Shape: [2048, 1024]
model.model.transformer.layers.3.cross_attn.to_out.weight | Shape: [1024, 1024]
model.model.transformer.layers.3.cross_attn.q_norm.weight | Shape: [128]
model.model.transformer.layers.3.cross_attn.q_norm.bias | Shape: [128]
model.model.transformer.layers.3.cross_attn.k_norm.weight | Shape: [128]
model.model.transformer.layers.3.cross_attn.k_norm.bias | Shape: [128]
model.model.transformer.layers.3.ff_norm.gamma | Shape: [1024]
model.model.transformer.layers.3.ff.ff.0.proj.weight | Shape: [8192, 1024]
model.model.transformer.layers.3.ff.ff.0.proj.bias | Shape: [8192]
model.model.transformer.layers.3.ff.ff.2.weight | Shape: [1024, 4096]
model.model.transformer.layers.3.ff.ff.2.bias | Shape: [1024]
model.model.transformer.layers.4.pre_norm.gamma | Shape: [1024]
model.model.transformer.layers.4.self_attn.to_qkv.weight | Shape: [3072, 1024]
model.model.transformer.layers.4.self_attn.to_out.weight | Shape: [1024, 1024]
model.model.transformer.layers.4.self_attn.q_norm.weight | Shape: [128]
model.model.transformer.layers.4.self_attn.q_norm.bias | Shape: [128]
model.model.transformer.layers.4.self_attn.k_norm.weight | Shape: [128]
model.model.transformer.layers.4.self_attn.k_norm.bias | Shape: [128]
model.model.transformer.layers.4.cross_attend_norm.gamma | Shape: [1024]
model.model.transformer.layers.4.cross_attn.to_q.weight | Shape: [1024, 1024]
model.model.transformer.layers.4.cross_attn.to_kv.weight | Shape: [2048, 1024]
model.model.transformer.layers.4.cross_attn.to_out.weight | Shape: [1024, 1024]
model.model.transformer.layers.4.cross_attn.q_norm.weight | Shape: [128]
model.model.transformer.layers.4.cross_attn.q_norm.bias | Shape: [128]
model.model.transformer.layers.4.cross_attn.k_norm.weight | Shape: [128]
model.model.transformer.layers.4.cross_attn.k_norm.bias | Shape: [128]
model.model.transformer.layers.4.ff_norm.gamma | Shape: [1024]
model.model.transformer.layers.4.ff.ff.0.proj.weight | Shape: [8192, 1024]
model.model.transformer.layers.4.ff.ff.0.proj.bias | Shape: [8192]
model.model.transformer.layers.4.ff.ff.2.weight | Shape: [1024, 4096]
model.model.transformer.layers.4.ff.ff.2.bias | Shape: [1024]
model.model.transformer.layers.5.pre_norm.gamma | Shape: [1024]
model.model.transformer.layers.5.self_attn.to_qkv.weight | Shape: [3072, 1024]
model.model.transformer.layers.5.self_attn.to_out.weight | Shape: [1024, 1024]
model.model.transformer.layers.5.self_attn.q_norm.weight | Shape: [128]
model.model.transformer.layers.5.self_attn.q_norm.bias | Shape: [128]
model.model.transformer.layers.5.self_attn.k_norm.weight | Shape: [128]
model.model.transformer.layers.5.self_attn.k_norm.bias | Shape: [128]
model.model.transformer.layers.5.cross_attend_norm.gamma | Shape: [1024]
model.model.transformer.layers.5.cross_attn.to_q.weight | Shape: [1024, 1024]
model.model.transformer.layers.5.cross_attn.to_kv.weight | Shape: [2048, 1024]
model.model.transformer.layers.5.cross_attn.to_out.weight | Shape: [1024, 1024]
model.model.transformer.layers.5.cross_attn.q_norm.weight | Shape: [128]
model.model.transformer.layers.5.cross_attn.q_norm.bias | Shape: [128]
model.model.transformer.layers.5.cross_attn.k_norm.weight | Shape: [128]
model.model.transformer.layers.5.cross_attn.k_norm.bias | Shape: [128]
model.model.transformer.layers.5.ff_norm.gamma | Shape: [1024]
model.model.transformer.layers.5.ff.ff.0.proj.weight | Shape: [8192, 1024]
model.model.transformer.layers.5.ff.ff.0.proj.bias | Shape: [8192]
model.model.transformer.layers.5.ff.ff.2.weight | Shape: [1024, 4096]
model.model.transformer.layers.5.ff.ff.2.bias | Shape: [1024]
model.model.transformer.layers.6.pre_norm.gamma | Shape: [1024]
model.model.transformer.layers.6.self_attn.to_qkv.weight | Shape: [3072, 1024]
model.model.transformer.layers.6.self_attn.to_out.weight | Shape: [1024, 1024]
model.model.transformer.layers.6.self_attn.q_norm.weight | Shape: [128]
model.model.transformer.layers.6.self_attn.q_norm.bias | Shape: [128]
model.model.transformer.layers.6.self_attn.k_norm.weight | Shape: [128]
model.model.transformer.layers.6.self_attn.k_norm.bias | Shape: [128]
model.model.transformer.layers.6.cross_attend_norm.gamma | Shape: [1024]
model.model.transformer.layers.6.cross_attn.to_q.weight | Shape: [1024, 1024]
model.model.transformer.layers.6.cross_attn.to_kv.weight | Shape: [2048, 1024]
model.model.transformer.layers.6.cross_attn.to_out.weight | Shape: [1024, 1024]
model.model.transformer.layers.6.cross_attn.q_norm.weight | Shape: [128]
model.model.transformer.layers.6.cross_attn.q_norm.bias | Shape: [128]
model.model.transformer.layers.6.cross_attn.k_norm.weight | Shape: [128]
model.model.transformer.layers.6.cross_attn.k_norm.bias | Shape: [128]
model.model.transformer.layers.6.ff_norm.gamma | Shape: [1024]
model.model.transformer.layers.6.ff.ff.0.proj.weight | Shape: [8192, 1024]
model.model.transformer.layers.6.ff.ff.0.proj.bias | Shape: [8192]
model.model.transformer.layers.6.ff.ff.2.weight | Shape: [1024, 4096]
model.model.transformer.layers.6.ff.ff.2.bias | Shape: [1024]
model.model.transformer.layers.7.pre_norm.gamma | Shape: [1024]
model.model.transformer.layers.7.self_attn.to_qkv.weight | Shape: [3072, 1024]
model.model.transformer.layers.7.self_attn.to_out.weight | Shape: [1024, 1024]
model.model.transformer.layers.7.self_attn.q_norm.weight | Shape: [128]
model.model.transformer.layers.7.self_attn.q_norm.bias | Shape: [128]
model.model.transformer.layers.7.self_attn.k_norm.weight | Shape: [128]
model.model.transformer.layers.7.self_attn.k_norm.bias | Shape: [128]
model.model.transformer.layers.7.cross_attend_norm.gamma | Shape: [1024]
model.model.transformer.layers.7.cross_attn.to_q.weight | Shape: [1024, 1024]
model.model.transformer.layers.7.cross_attn.to_kv.weight | Shape: [2048, 1024]
model.model.transformer.layers.7.cross_attn.to_out.weight | Shape: [1024, 1024]
model.model.transformer.layers.7.cross_attn.q_norm.weight | Shape: [128]
model.model.transformer.layers.7.cross_attn.q_norm.bias | Shape: [128]
model.model.transformer.layers.7.cross_attn.k_norm.weight | Shape: [128]
model.model.transformer.layers.7.cross_attn.k_norm.bias | Shape: [128]
model.model.transformer.layers.7.ff_norm.gamma | Shape: [1024]
model.model.transformer.layers.7.ff.ff.0.proj.weight | Shape: [8192, 1024]
model.model.transformer.layers.7.ff.ff.0.proj.bias | Shape: [8192]
model.model.transformer.layers.7.ff.ff.2.weight | Shape: [1024, 4096]
model.model.transformer.layers.7.ff.ff.2.bias | Shape: [1024]
model.model.transformer.layers.8.pre_norm.gamma | Shape: [1024]
model.model.transformer.layers.8.self_attn.to_qkv.weight | Shape: [3072, 1024]
model.model.transformer.layers.8.self_attn.to_out.weight | Shape: [1024, 1024]
model.model.transformer.layers.8.self_attn.q_norm.weight | Shape: [128]
model.model.transformer.layers.8.self_attn.q_norm.bias | Shape: [128]
model.model.transformer.layers.8.self_attn.k_norm.weight | Shape: [128]
model.model.transformer.layers.8.self_attn.k_norm.bias | Shape: [128]
model.model.transformer.layers.8.cross_attend_norm.gamma | Shape: [1024]
model.model.transformer.layers.8.cross_attn.to_q.weight | Shape: [1024, 1024]
model.model.transformer.layers.8.cross_attn.to_kv.weight | Shape: [2048, 1024]
model.model.transformer.layers.8.cross_attn.to_out.weight | Shape: [1024, 1024]
model.model.transformer.layers.8.cross_attn.q_norm.weight | Shape: [128]
model.model.transformer.layers.8.cross_attn.q_norm.bias | Shape: [128]
model.model.transformer.layers.8.cross_attn.k_norm.weight | Shape: [128]
model.model.transformer.layers.8.cross_attn.k_norm.bias | Shape: [128]
model.model.transformer.layers.8.ff_norm.gamma | Shape: [1024]
model.model.transformer.layers.8.ff.ff.0.proj.weight | Shape: [8192, 1024]
model.model.transformer.layers.8.ff.ff.0.proj.bias | Shape: [8192]
model.model.transformer.layers.8.ff.ff.2.weight | Shape: [1024, 4096]
model.model.transformer.layers.8.ff.ff.2.bias | Shape: [1024]
model.model.transformer.layers.9.pre_norm.gamma | Shape: [1024]
model.model.transformer.layers.9.self_attn.to_qkv.weight | Shape: [3072, 1024]
model.model.transformer.layers.9.self_attn.to_out.weight | Shape: [1024, 1024]
model.model.transformer.layers.9.self_attn.q_norm.weight | Shape: [128]
model.model.transformer.layers.9.self_attn.q_norm.bias | Shape: [128]
model.model.transformer.layers.9.self_attn.k_norm.weight | Shape: [128]
model.model.transformer.layers.9.self_attn.k_norm.bias | Shape: [128]
model.model.transformer.layers.9.cross_attend_norm.gamma | Shape: [1024]
model.model.transformer.layers.9.cross_attn.to_q.weight | Shape: [1024, 1024]
model.model.transformer.layers.9.cross_attn.to_kv.weight | Shape: [2048, 1024]
model.model.transformer.layers.9.cross_attn.to_out.weight | Shape: [1024, 1024]
model.model.transformer.layers.9.cross_attn.q_norm.weight | Shape: [128]
model.model.transformer.layers.9.cross_attn.q_norm.bias | Shape: [128]
model.model.transformer.layers.9.cross_attn.k_norm.weight | Shape: [128]
model.model.transformer.layers.9.cross_attn.k_norm.bias | Shape: [128]
model.model.transformer.layers.9.ff_norm.gamma | Shape: [1024]
model.model.transformer.layers.9.ff.ff.0.proj.weight | Shape: [8192, 1024]
model.model.transformer.layers.9.ff.ff.0.proj.bias | Shape: [8192]
model.model.transformer.layers.9.ff.ff.2.weight | Shape: [1024, 4096]
model.model.transformer.layers.9.ff.ff.2.bias | Shape: [1024]
model.model.transformer.layers.10.pre_norm.gamma | Shape: [1024]
model.model.transformer.layers.10.self_attn.to_qkv.weight | Shape: [3072, 1024]
model.model.transformer.layers.10.self_attn.to_out.weight | Shape: [1024, 1024]
model.model.transformer.layers.10.self_attn.q_norm.weight | Shape: [128]
model.model.transformer.layers.10.self_attn.q_norm.bias | Shape: [128]
model.model.transformer.layers.10.self_attn.k_norm.weight | Shape: [128]
model.model.transformer.layers.10.self_attn.k_norm.bias | Shape: [128]
model.model.transformer.layers.10.cross_attend_norm.gamma | Shape: [1024]
model.model.transformer.layers.10.cross_attn.to_q.weight | Shape: [1024, 1024]
model.model.transformer.layers.10.cross_attn.to_kv.weight | Shape: [2048, 1024]
model.model.transformer.layers.10.cross_attn.to_out.weight | Shape: [1024, 1024]
model.model.transformer.layers.10.cross_attn.q_norm.weight | Shape: [128]
model.model.transformer.layers.10.cross_attn.q_norm.bias | Shape: [128]
model.model.transformer.layers.10.cross_attn.k_norm.weight | Shape: [128]
model.model.transformer.layers.10.cross_attn.k_norm.bias | Shape: [128]
